pub_id|title|year|venue|authors|institution|keywords
27|Are Reviews an Alternative to Pair Programming ?|2004|ESEM|Matthias M. Muller|Universitat Karlsruhe|nc
28|Using Students as Experiment Subjects – An Analysis on Graduate and Freshmen Student Data|2003|EASE|Per Runeson|Lund University|nc
29|Comparing Code Reading Techniques Applied to Object-oriented Software Frameworks with regard to Effectiveness and Defect Detection Rate|2004|ISESE|Zeiad Abdelnabi; Giovanni Cantone; Marcus Ciolkowski; Dieter Rombach|University of Rome “Tor Vergata”|nc
30|Effects of Pair Programming at the Development Team Level: An Experiment|2005|ESEM|Jari Vanhanen; Casper Lassenius|Helsinki University of Technology|nc
31|A Controlled Experiment Comparing the Maintainability of Programs Designed with and without Design Patterns - A Replication in a Real Programming Environment|2004|ESEJ|MAREK VOKA ́ Cˇ; WALTER TICHY; DAG I. K. SJØBERG; ERIK ARISHOLM; MAGNE ALDRIN|Simula Research Laboratory; Universitat Karlsruhe; Norwegian Computing Center|Controlled experiment; design patterns; real programming environment; qualitative results
32|Answering software evolution questions: An empirical evaluation|2012|IST|Lile Hattori; Marco D’Ambros; Michele Lanza; Mircea Lungu|University of Lugano; University of Berne|Software evolution; Empirical evaluation; Controlled experiment; Software change history; Mining software repositories
33|More testers – The effect of crowd size and time restriction in software testing|2013|IST|Mika V. Mäntylä; Juha Itkonen|Aalto University; Lund University|Software testing; Group performance Division of labor; Human factors Crowdsourcing; Methods for SQA and V&V
34|Self-assessment of performance in software inspection processes|2004|IST|Zhichao Yina; Alistair Dunsmoreb; James Miller|University of Alberta; University of Strathclyde|Inspection; Defects; Subjective estimation
35|A structured experiment of test-driven development|2003|IST|Boby Georgea; Laurie Williams|Virginia Polytechnic Institute and State University; North Carolina State University|Software engineering; Test driven development; Extreme programming; Agile methodologies
36|Assessing defect detection performance of interacting teams in object-oriented design inspection|2004|IST|Giedre Sabaliauskaitea; Shinji Kusumoto; Katsuro Inoue|Osaka University; Kaunas University of Technology|Software inspection; Inspection meeting; False positives
37|Experimental comparison of the comprehensibility of a Z specification and its implementation in Java|2004|IST|C.F. Snooka; R. Harrison|University of Southampton; University of Reading|Empirical assessment; Formal Specification; Comprehension
38|Exploring the underlying aspects of pair programming: The impact of personality|2008|IST|Kyungsub S. Choi; Fadi P. Deek; Il Im|Manhattan College; New Jersey Institute of Technology; Yonsei University; University Heights|Pair programming; Team programming; Collaborative programming; Myers–Briggs Type Indicator; Personality
39|The effect of task order on the maintainability of object-oriented software|2009|IST|Alf Inge Wang; Erik Arisholm|Norwegian University of Science and Technology; Simula Research Laboratory; University of Oslo|Object-oriented design; Object-oriented programming; Maintainability; Maintenance planning; Software maintenance; Schedule and organizational issues
40|Empirical investigation towards the effectiveness of Test First programming|2009|IST|Liang Huang; Mike Holcombe|University of Sheffield|Agile methods; Empirical software engineering; Software testing; Testing strategies; Software engineering process; Programming paradigms
41|The impacts of function extraction technology on program comprehension: A controlled experiment|2008|IST|Rosann Webb Collins; Alan R. Hevner; Gwendolyn H. Walton; Richard C. Linger|University of South Florida; Florida Southern College; Carnegie-Mellon University|Program comprehension; Behavior understanding; Knowledge workers; Software development; Function extraction
42|The impact of Test-First programming on branch coverage and mutation score indicator of unit tests: An experiment|2010|IST|Lech Madeyski|Wroclaw University of Technology|Empirical study; Test-First programming; Test-driven development; Unit tests
43|A controlled experiment in assessing and estimating software maintenance tasks|2011|IST|Vu Nguyen; Barry Boehm; Phongphan Danphitsanuphan|University of Southern California; King Mongkut’s University of Technology North Bangkok|Software maintenance; Software estimation; Maintenance experiment; COCOMO; Maintenance size
44|Impact of test-driven development on productivity, code and tests: A controlled experiment|2011|IST|Matjaz Pancur; Mojca Ciglaric|University of Ljubljana|Empirical software engineering; Controlled experiment;Test-driven development; Iterative test-last development
45|Human and program factors affecting the maintenance of programs with deployed design patterns|2012|IST|T.H. Ng; Yuen Tak Yu; S.C. Cheung; W.K. Chan|Hong Kong University of Science and Technology; City University of Hong Kong|Design patterns; Empirical study; Human factors; Pattern-deployed software; Program factors; Software maintenance
46|Design of an empirical study for comparing the usability of concurrent programming languages|2013|IST|Sebastian Nanz; Faraz Torshizi; Michela Pedroni; Bertrand Meyer|ETH Zurich; University of Toronto|Empirical study; Concurrency; Programming languages; Usability
47|A preliminary study on the impact of a pair design phase on pair programming and solo programming|2013|IST|Matthias M. Muler|Universitat Karlsruhe|Pair programming; Preliminary study; Post-development test-cases
48|Predicting Maintenance Performance Using Object-Oriented Design Complexity Metrics|2003|TSE|Rajendra K. Bandi; Vijay K. Vaishnavi; Daniel E. Turk|Indian Institute of Management; Georgia State University; Colorado State University|Object-oriented metrics; software maintenance; metrics validation; predicting software maintenance time
49|Computer-Mediated Group Support, Anonymity, and the Software Inspection Process: An Empirical Investigation|2003|TSE|Padmal Vitharana; K. Ramamurthy|Syracuse University; University of Wisconsin|Anonymity; controlled experiment design; group support systems; seeded errors; software inspection; software quality assurance
50|Evaluating the Effect of a Delegated versus Centralized Control Style on the Maintainability of Object-Oriented Software|2004|TSE|Erik Arisholm; Dag I. K. Sjøberg|Simula Research Laboratory|Design principles; responsibility delegation; control styles; object-oriented design; object-oriented programming; software maintainability; controlled experiment
51|On the Effectiveness of the Test-First Approach to Programming|2005|TSE|Hakan Erdogmus; Maurizio Morisio; Marco Torchiano|National Research Council Canada; Politecnico di Torino|General programming techniques; coding tools and techniques; testing and debugging; testing strategies; productivity; Software Quality/SQA; software engineering process; programming paradigms
52|The Structural Complexity of Software: An Experimental Test|2005|TSE|David P. Darcy; Chris F. Kemerer; Sandra A. Slaughter; James E. Tomayko|University of Maryland; University of Pittsburgh; Carnegie-Mellon University|Software complexity; software structure; Wood’s model of task complexity; coupling; cohesion; experiment; software maintenance; software metrics; cognition; procedural programming; object-oriented programming
53|Evaluating Pair Programming with Respect to System Complexity and Programmer Expertise|2007|TSE|Erik Arisholm; Hans Gallis; Tore Dyba; Dag I. K. Sjøberg|Simula Research Laboratory; SINTEF Information and Communication Technology|Empirical software engineering; pair programming; extreme programming; design principles; control styles; object-oriented programming; software maintainability; quasi-experiment
54|Effective Software Merging in the Presence of Object-Oriented Refactorings|2008|TSE|Danny Dig; Kashif Manzoor; Ralph Johnson; Tien N. Nguyen|The Stata Center; Techlogix; University of Illinois at Urbana-Champaign; Iowa State University|Refactoring, merging; Software Configuration Management; version control systems
55|A Controlled Experiment for Program Comprehension through Trace Visualization|2011|TSE|Bas Cornelissen; Andy Zaidman; Arie van Deursen|Software Improvement Group;Delft University of Technology|Program comprehension; dynamic analysis; controlled experiment
56|A Controlled Experiment for Evaluating the Impact of Coupling on the Maintainability of Service-Oriented Software|2011|TSE|Mikhail Perepletchikov; Caspar Ryan|RMIT University|Services systems; design concepts; maintainability; product metrics; empirical studies
57|Improving Source Code Lexicon via Traceability and Information Retrieval|2011|TSE|Andrea De Lucia; Massimiliano Di Penta; Rocco Oliveto|University of Salerno; University of Sannio; University of Molise|Software traceability; source code comprehensibility; source code identifier quality; information retrieval; software development environments; empirical software engineering
58|Comparing the Defect Reduction Benefits of Code Inspection and Test-Driven Development|2012|TSE|Jerod W. Wilkerson; Jay F. Nunamaker Jr.; Rick Mercer|Pennsylvania State University; University of Arizona|Agile programming; code inspections and walk throughs; reliability; test-driven development; testing strategies; empirical study
59|Structural Complexity and Programmer Team Strategy: An Experimental Test|2012|TSE|Narayan Ramasubbu; Chris F. Kemerer; Jeff Hong|University of Pittsburgh; Singapore Management University|Object-oriented programming; complexity measures; software quality; software productivity; programming teams; maintenance process; CK metrics; software management
60|Exploiting Dynamic Information in IDEs Improves Speed and Correctness of Software Maintenance Tasks|2012|TSE|David Rothlisberger; Marcel Harry; Walter Binder; Philippe Moret; Danilo Ansaloni; Alex Villazo; Oscar Nierstrasz|Universitat Bern; University of Lugano; Universidad Privada Boliviana|Object-oriented programming; integrated environments; restructuring; reverse engineering; reengineering; complexity measures; performance measures
61|A pilot study to compare programming effort for two parallel programming models|2008|JSS|Lorin Hochstein; Victor R. Basili; Uzi Vishkin; John Gilbert|University of Nebraska; University of Maryland; University of California|MPI; XMT; Message-passing; PRAM; Empirical study; Parallel programming; Effort
62|Comprehension strategies and difficulties in maintaining object-oriented systems: An explorative study|2007|JSS|Amela Karahasanovic; Annette Kristin Levine; Richard Thomas|Simula Research Laboratory; Software Innovation; The University of Western Australia|Maintenance; Program comprehension; Experiment; Object-oriented
63|Two controlled experiments concerning the comparison of pair programming to peer review|2005|JSS|Matthias M. Muller|Universitat Karlsruhe|Pair programming; Peer reviews; Empirical software engineering; Controlled experiment
64|An empirical investigation of the impact of the object-oriented paradigm on the maintainability of real-world mission-critical software|2005|JSS|Joa Sang Lim; Seung Ryul Jeong; Stephen R. Schach|Sangmyung University; Kookmin University; Vanderbilt University|nc
65|The task-dependent nature of the maintenance of object-oriented programs|2005|JSS|Gordon L. Freeman Jr.; Stephen R. Schach|Middle Tennessee State University; Vanderbilt University|Controlled experiment; Object-orientation; Maintenance; Inheritance; Productivity
66|An empirical investigation of an object-oriented design heuristic for maintainability|2003|JSS|Ignatios Deligiannis; Martin Shepperd; Manos Roumeliotis; Ioannis Stamelos|Technological Education Institute of Thessaloniki; Bournemouth University; University of Macedonia; Aristotle University of Thessaloniki|Object-orientation; Empirical study; Design; Heuristics; Metrics
67|A controlled experiment on inheritance depth as a cost factor for code maintenan|2003|JSS|Lutz Prechelt; Barbara Unger; Michael Philippsen; Walter Tichy|Universitat Karlsruhe|Controlled experiment; Inheritance depth; Maintenance; Cost model
68|A controlled experiment investigation of an object-oriented design heuristic for maintainability|2004|JSS|Ignatios Deligiannis; Ioannis Stamelos; Lefteris Angelis; Manos Roumeliotis; Martin Shepperd|technological education institute of thessaloniki; Aristotle University of Thessaloniki; University of Macedonia; Bournemouth University|Object-oriented; Maintainability; Experiment; Design; Heuristics
69|On the impact of trace-based feature location in the performance of software maintainers|2013|JSS|Marcelo de Almeida Maia; Raquel Fialho Lafetá|Federal University of Uberlândia|Empirical assessment; Execution traces; Feature location; Software maintenance
